epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
25,33376.8,1.58804,2.08056,0.01117,0.39995,0.29036,0.30674,0.21134,1.38,2.43981,0.01216,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
26,34602.3,1.57626,2.06495,0.01117,0.39814,0.29353,0.3079,0.2126,1.3782,2.43801,0.01215,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0103594,0.00345313,0.0414375,0.0138125
27,35865,1.57188,2.07264,0.01113,0.38687,0.30169,0.30936,0.21348,1.37685,2.43625,0.01212,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0101738,0.00339125,0.040695,0.013565
28,37155.2,1.56995,2.06478,0.01108,0.39066,0.3017,0.31138,0.21506,1.37489,2.43349,0.01208,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.00998812,0.00332937,0.0399525,0.0133175
29,38371,1.56942,2.04944,0.01107,0.3933,0.30122,0.31373,0.21678,1.37469,2.42988,0.01207,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.0098025,0.0032675,0.03921,0.01307
30,39663.6,1.57156,2.05516,0.01117,0.39254,0.30176,0.31551,0.21843,1.37444,2.4272,0.01206,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.00961687,0.00320562,0.0384675,0.0128225
31,41037.2,1.56624,2.04835,0.01103,0.39407,0.30264,0.31648,0.21913,1.37415,2.42432,0.01207,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.00943125,0.00314375,0.037725,0.012575
32,42318.4,1.55982,2.03221,0.01108,0.39194,0.30418,0.31807,0.22067,1.37389,2.41976,0.01207,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.00924563,0.00308187,0.0369825,0.0123275
33,43537.8,1.55948,2.03327,0.01109,0.3922,0.3081,0.31863,0.22115,1.37422,2.41774,0.01208,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00906,0.00302,0.03624,0.01208
34,44772.2,1.55817,2.03048,0.01096,0.38809,0.31135,0.31963,0.22184,1.37182,2.41801,0.01203,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.00887438,0.00295813,0.0354975,0.0118325
35,45995.8,1.56362,2.01956,0.01094,0.39252,0.31257,0.32079,0.22274,1.37179,2.41744,0.01204,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.00868875,0.00289625,0.034755,0.011585
36,47211.8,1.56301,2.02247,0.011,0.39076,0.31272,0.32098,0.22278,1.37113,2.41664,0.01201,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.00850313,0.00283438,0.0340125,0.0113375
37,48426.8,1.55049,2.01796,0.011,0.39343,0.31212,0.32226,0.22405,1.36952,2.41595,0.012,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.0083175,0.0027725,0.03327,0.01109
38,49641.8,1.54496,2.0052,0.01091,0.39686,0.31351,0.3238,0.22493,1.3684,2.4134,0.01199,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.00813187,0.00271062,0.0325275,0.0108425
39,50857.4,1.54861,1.9986,0.01083,0.39822,0.31579,0.3258,0.22619,1.3683,2.40953,0.01199,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.00794625,0.00264875,0.031785,0.010595
40,52070.2,1.54244,1.98874,0.01081,0.39627,0.31732,0.32662,0.22727,1.36653,2.40879,0.01196,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.00776062,0.00258687,0.0310425,0.0103475
41,53283.7,1.54858,1.98331,0.01081,0.39966,0.3178,0.32736,0.22797,1.36458,2.40933,0.01192,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
42,54498.6,1.54025,1.98503,0.01081,0.39602,0.31959,0.3279,0.22834,1.3633,2.40919,0.01192,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.00738938,0.00246313,0.0295575,0.0098525
43,55710.5,1.54649,1.98692,0.01068,0.40179,0.31893,0.32886,0.22897,1.36107,2.40909,0.01188,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.00720375,0.00240125,0.028815,0.009605
44,56924.4,1.54232,1.97299,0.01077,0.40397,0.31968,0.33002,0.22998,1.36102,2.40688,0.0119,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.00701813,0.00233938,0.0280725,0.0093575
45,58140.8,1.52984,1.95754,0.01067,0.40065,0.32065,0.33059,0.23054,1.35953,2.40652,0.01186,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.0068325,0.0022775,0.02733,0.00911
46,59473.1,1.52844,1.9642,0.01072,0.40362,0.3213,0.3315,0.23127,1.35876,2.40495,0.01183,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.00664688,0.00221563,0.0265875,0.0088625
47,60761.2,1.52744,1.9577,0.01061,0.40689,0.31946,0.33323,0.23247,1.35779,2.40374,0.0118,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.00646125,0.00215375,0.025845,0.008615
48,62099.8,1.52382,1.94275,0.01066,0.41215,0.31764,0.33481,0.23339,1.3578,2.40166,0.0118,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.00627562,0.00209187,0.0251025,0.0083675
49,63314.3,1.52575,1.94186,0.01054,0.41351,0.31862,0.33515,0.23406,1.35771,2.40145,0.01181,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00609,0.00203,0.02436,0.00812
50,64528.8,1.52737,1.93536,0.01058,0.40991,0.3225,0.3358,0.23399,1.35641,2.40263,0.01179,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.00590437,0.00196812,0.0236175,0.0078725
51,65747,1.52265,1.92049,0.01042,0.40973,0.32282,0.33672,0.23483,1.35551,2.40117,0.01179,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.00571875,0.00190625,0.022875,0.007625
52,66962.1,1.51297,1.91828,0.01043,0.41116,0.32343,0.33822,0.23614,1.35433,2.39951,0.01178,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.00553313,0.00184438,0.0221325,0.0073775
53,68179.3,1.5139,1.91643,0.01048,0.4144,0.32446,0.3397,0.23716,1.35374,2.3976,0.01177,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.0053475,0.0017825,0.02139,0.00713
54,69394.4,1.51269,1.91265,0.0105,0.41469,0.32546,0.34024,0.23762,1.35246,2.39617,0.01175,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.00516187,0.00172063,0.0206475,0.0068825
55,70617,1.5044,1.89244,0.01042,0.4198,0.32439,0.34152,0.23877,1.35171,2.39412,0.01174,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.00497625,0.00165875,0.019905,0.006635
56,71900.5,1.49837,1.88908,0.0103,0.41282,0.32876,0.34351,0.24026,1.35132,2.39182,0.01174,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00479062,0.00159688,0.0191625,0.0063875
